label,index,nr_pix,rows_with_1,cols_with_1,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,aspect_ratio,maxrow,maxcol,connected_areas,eyes,hollowness,img_bdensity
pencil,02,74,1,1,3,3,15,14,18,17,0.9444444444444444,8,7,14,2,0.8783783783783784,0.24183006535947713
pencil,03,129,1,0,0,0,22,18,22,17,0.7727272727272727,9,10,1,2,0.627906976744186,0.3449197860962567
pencil,04,77,1,0,17,0,8,8,25,7,0.28,8,15,1,2,1.155844155844156,0.44
pencil,05,82,0,0,13,0,11,13,23,12,0.5217391304347826,7,9,7,2,0.7560975609756098,0.2971014492753623
pencil,06,72,0,0,10,4,12,15,21,18,0.8571428571428571,7,7,21,2,0.875,0.19047619047619047
pencil,07,86,2,1,8,7,14,16,23,23,1.0,9,8,27,2,1.430232558139535,0.16257088846880907
pencil,08,82,0,1,13,4,12,16,24,20,0.8333333333333334,7,8,29,2,1.2560975609756098,0.17083333333333334
pencil,09,92,0,1,7,9,17,15,23,24,1.0434782608695652,8,8,28,2,1.2391304347826086,0.16666666666666666
pencil,10,97,1,0,13,4,14,19,27,22,0.8148148148148148,8,9,32,2,1.1958762886597938,0.1632996632996633
pencil,11,88,3,0,10,8,16,15,28,22,0.7857142857142857,8,9,33,2,1.5113636363636365,0.14285714285714285
pencil,12,101,1,0,10,8,20,19,30,26,0.8666666666666667,7,8,31,2,1.1584158415841583,0.1294871794871795
pencil,13,96,1,0,9,10,16,15,25,24,0.96,8,9,30,2,1.3020833333333333,0.16
pencil,14,77,0,1,13,8,12,15,24,23,0.9583333333333334,7,7,33,2,1.3506493506493507,0.13949275362318841
tree,01,69,0,3,16,0,8,13,23,15,0.6521739130434783,8,11,13,0,0.0,0.2
tree,02,70,0,5,12,3,10,14,21,21,1.0,14,7,17,0,0.0,0.15873015873015872
tree,03,87,1,4,17,2,13,13,30,18,0.6,7,13,14,0,0.0,0.16111111111111112
tree,04,98,0,4,25,1,11,15,35,19,0.5428571428571428,8,18,18,0,0.0,0.14736842105263157
tree,05,97,2,4,17,5,12,16,30,24,0.8,14,17,15,0,0.0,0.13472222222222222
tree,06,95,0,3,13,6,17,17,29,25,0.8620689655172413,10,14,22,0,0.0,0.1310344827586207
tree,07,103,0,3,20,6,13,21,32,29,0.90625,12,8,33,0,0.0,0.11099137931034483
tree,08,93,0,2,19,1,13,21,31,23,0.7419354838709677,10,11,27,0,0.0,0.13043478260869565
tree,09,89,1,5,21,1,10,17,31,22,0.7096774193548387,8,8,24,0,0.0,0.13049853372434017
tree,10,89,1,5,21,1,10,17,31,22,0.7096774193548387,8,8,24,0,0.0,0.13049853372434017
tree,11,85,0,3,17,1,13,17,29,20,0.6896551724137931,8,10,19,0,0.0,0.14655172413793102
tree,12,90,0,3,15,3,14,15,28,20,0.7142857142857143,9,16,13,0,0.0,0.16071428571428573
tree,13,80,0,1,15,1,12,12,26,13,0.5,7,16,8,0,0.0,0.23668639053254437
tree,14,96,1,6,13,7,17,14,30,26,0.8666666666666667,12,12,18,0,0.0,0.12307692307692308
wineglass,01,62,11,0,7,8,8,10,25,17,0.68,10,11,10,0,0.0,0.14588235294117646
wineglass,02,58,12,0,9,10,5,7,25,16,0.64,11,13,8,0,0.0,0.145
wineglass,03,53,9,1,8,5,6,8,22,13,0.5909090909090909,9,9,6,0,0.0,0.1853146853146853
wineglass,04,66,13,0,8,5,7,12,27,16,0.5925925925925926,12,10,8,0,0.0,0.1527777777777778
wineglass,05,70,11,3,11,9,6,8,27,19,0.7037037037037037,11,12,8,0,0.0,0.1364522417153996
wineglass,06,61,10,2,10,6,6,9,25,16,0.64,7,13,9,0,0.0,0.1525
wineglass,07,53,8,1,5,1,8,12,20,13,0.65,12,9,6,0,0.0,0.20384615384615384
wineglass,08,50,9,2,7,5,6,7,21,13,0.6190476190476191,10,12,7,0,0.0,0.18315018315018314
wineglass,09,57,9,1,6,5,6,9,20,14,0.7,11,12,4,1,0.017543859649122806,0.20357142857142857
wineglass,10,55,13,0,5,3,7,10,24,12,0.5,7,9,8,0,0.0,0.1909722222222222
wineglass,11,50,10,0,4,6,5,8,18,13,0.7222222222222222,12,12,6,0,0.0,0.21367521367521367
wineglass,12,60,15,1,5,5,6,10,25,15,0.6,9,15,5,0,0.0,0.16
wineglass,13,62,13,0,6,12,6,6,24,17,0.7083333333333334,11,16,6,0,0.0,0.15196078431372548
wineglass,14,69,11,1,8,8,8,11,26,19,0.7307692307692307,13,13,10,0,0.0,0.1396761133603239
